margQLBK,n,landing,coverage
BDG,9,0,0.444444444444444
BRG,326,232,0.263803680981595
CRS,50,0,0.14
ERK,323,0,0.708978328173375
MNT,108,0,0.453703703703704
MRO,138,0,0.231884057971014
OSF,29,0,0.206896551724138
HKL,110,0,0.236363636363636
NET,6,0,0
TWL,867,232,0.44636678200692
1978,124,232,0.370967741935484
1979,102,0,0.352941176470588
1980,271,0,0.516605166051661
1981,237,0,0.333333333333333
1982,249,0,0.449799196787149
Q1,162,232,0.345679012345679
Q2,289,0,0.221453287197232
Q3,340,0,0.638235294117647
Q4,192,0,0.395833333333333
