margOLVE,n,landing,coverage
BDG,9,0,0.888888888888889
BRG,326,0,0.662576687116564
CRS,50,0,1
ERK,323,0,0.702786377708978
MNT,108,7525,0.981481481481482
MRO,138,17817,0.956521739130435
OSF,29,0,0.862068965517241
HKL,110,24120,0.9
NET,6,0,1
TWL,867,1222,0.760092272202999
1978,124,0,0.725806451612903
1979,102,4165,0.558823529411765
1980,271,6674,0.900369003690037
1981,237,374,0.586497890295359
1982,249,14129,0.939759036144578
Q1,162,0,0.783950617283951
Q2,289,5016,0.737024221453287
Q3,340,19210,0.908823529411765
Q4,192,1116,0.598958333333333
