"marginalBRNZ","n","landing","coverage"
"BDG",9,0,1
"BRG",326,0,0.926380368098159
"CRS",50,0,1
"ERK",323,0,0.934984520123839
"MNT",108,0,0.916666666666667
"MRO",138,766,0.978260869565217
"OSF",29,0,1
"HKL",110,766,0.990909090909091
"NET",6,0,1
"TWL",867,0,0.935409457900807
"1978",124,0,1
"1979",102,766,0.990196078431373
"1980",271,0,0.922509225092251
"1981",237,0,0.89873417721519
"1982",249,0,0.955823293172691
"Q1",162,0,1
"Q2",289,0,0.968858131487889
"Q3",340,766,0.864705882352941
"Q4",192,0,0.989583333333333
