margCLPR,n,landing,coverage
BDG,4,30105,0.75
BRG,6,317971,0.666666666666667
MNT,95,2088610,0.663157894736842
MRO,66,1565177,0.712121212121212
OSF,63,2295608,0.714285714285714
HKL,1,0,1
NET,8,0,1
TWL,225,6297471,0.68
1978,57,856923,0.771929824561403
1980,61,2760555,0.639344262295082
1981,42,1498391,0.666666666666667
1982,50,1066903,0.64
1983,18,99835,0.722222222222222
1984,6,14864,1
Q1,51,1355711,0.686274509803922
Q2,79,1901799,0.69620253164557
Q3,59,1639952,0.745762711864407
Q4,45,1400009,0.622222222222222
