margBLGL,n,landing,coverage
BRG,6,0,1
MNT,88,33566,0.977272727272727
MRO,64,43210,0.96875
OSF,52,1093,1
HKL,1,0,1
NET,8,0,1
TWL,201,77869,0.980099502487562
1978,57,27793,0.982456140350877
1980,61,23574,1
1981,42,10625,0.976190476190476
1982,50,15877,0.96
Q1,43,9011,0.976744186046512
Q2,73,33027,0.972602739726027
Q3,54,1632,1
Q4,40,34199,0.975
