margSNOS,n,landing,coverage
BDG,56,57885,1
BRG,457,368303,0.964989059080963
CRS,82,157034,0.939024390243902
ERK,594,121075,0.988215488215488
MNT,344,183932,0.982558139534884
MRO,266,202654,0.996240601503759
OSF,104,212646,0.951923076923077
HKL,138,0,1
NET,47,12347,1
TWL,1718,1291182,0.976717112922002
1978,124,3677,0.983870967741935
1979,102,19016,1
1980,271,223827,0.970479704797048
1981,237,308301,0.962025316455696
1982,249,208910,0.979919678714859
1983,312,245880,0.961538461538462
1984,277,131844,0.989169675090253
1985,331,162074,0.996978851963746
Q1,339,369767,0.96165191740413
Q2,531,269952,0.984934086629002
Q3,645,481869,0.97984496124031
Q4,388,181941,0.984536082474227
