margRDBD,n,landing,coverage
BRG,6,0,0.5
MNT,88,0,0.465909090909091
MRO,64,2654,0.578125
OSF,52,2783,0.826923076923077
HKL,1,0,1
NET,8,0,1
TWL,201,5437,0.572139303482587
1978,57,2783,0.649122807017544
1980,61,0,0.672131147540984
1981,42,2654,0.595238095238095
1982,50,0,0.42
Q1,43,0,0.604651162790698
Q2,73,0,0.479452054794521
Q3,54,2783,0.537037037037037
Q4,40,2654,0.85
