"marginalVRML","n","landing","coverage"
"BRG",6,0,0
"MNT",88,0,0.488636363636364
"MRO",64,56066,0.78125
"OSF",52,21191,0.884615384615385
"HKL",1,9249,0
"NET",8,0,1
"TWL",201,68008,0.651741293532338
"1978",57,0,0.684210526315789
"1980",61,77257,0.672131147540984
"1981",42,0,0.761904761904762
"1982",50,0,0.54
"Q1",43,18759,0.558139534883721
"Q2",73,46817,0.547945205479452
"Q3",54,11681,0.851851851851852
"Q4",40,0,0.725
