"marginalBLCK","n","landing","coverage"
"BDG",27,0,0
"BRG",12,0,1
"CRS",3,0,1
"ERK",55,0,0.818181818181818
"MNT",11,0,0.727272727272727
"MRO",1,0,1
"OSF",20,0,0
"TWL",129,0,0.534883720930233
"1981",37,0,0.162162162162162
"1982",92,0,0.684782608695652
"Q1",33,0,0.727272727272727
"Q2",13,0,0.846153846153846
"Q3",37,0,0.648648648648649
"Q4",46,0,0.217391304347826
