"marginalSHRP","n","landing","coverage"
"BDG",9,0,0.333333333333333
"BRG",326,3698,0.561349693251534
"CRS",50,0,0.18
"ERK",323,0,0.272445820433437
"MNT",108,0,0.148148148148148
"MRO",138,0,0.289855072463768
"OSF",29,0,0.206896551724138
"HKL",110,0,0.190909090909091
"NET",6,0,0
"TWL",867,3698,0.373702422145329
"1978",124,0,0.5
"1979",102,3698,0.5
"1980",271,0,0.394833948339483
"1981",237,0,0.29957805907173
"1982",249,0,0.216867469879518
"Q1",162,0,0.271604938271605
"Q2",289,0,0.394463667820069
"Q3",340,1139,0.4
"Q4",192,2559,0.265625
