"species","mad"
"PNKR",3.68674385823496e-05
"REX",3.68674385823496e-05
"RDBD",3.73265694722487e-05
"EGLS",3.74067742112197e-05
"GSRK",3.78555997472091e-05
"LCOD",3.91559734734165e-05
"BLGL",4.05364099945374e-05
"ARRA",4.06450168891766e-05
"SSPN",4.07373675396496e-05
"SABL",4.10783803173167e-05
"SNOS",4.17004994901849e-05
"SBLY",4.18530267525574e-05
"DBRK",4.29485985890007e-05
"KLPG",4.71078094337355e-05
"STRK",5.00667365411351e-05
"GBLC",5.01142039285826e-05
"OLVE",5.37611260746587e-05
"BRWN",5.42943972175698e-05
"BLUR",5.64971158400948e-05
"BANK",6.01963849304481e-05
"WDOW",6.05359783301824e-05
"FLAG",6.07261850977611e-05
"CLPR",6.0793501065739e-05
"GSPT",6.25830530691728e-05
"SPKL",6.39463908641333e-05
"VRML",6.50864845240352e-05
"CNRY",6.74525661271266e-05
"CWCD",6.89604245451652e-05
"BCAC",7.0695960357083e-05
"YTRK",8.45058013032134e-05
"TIGR",8.98772228402628e-05
