"marginalCNRY","n","landing","coverage"
"BRG",6,33886,0.5
"MNT",88,692,1
"MRO",64,72433,0.984375
"OSF",52,89832,0.942307692307692
"HKL",1,0,1
"NET",8,692,1
"TWL",201,196151,0.965174129353234
"1978",57,19046,0.982456140350877
"1980",61,83956,0.934426229508197
"1981",42,63839,0.976190476190476
"1982",50,30002,0.98
"Q1",43,13366,0.976744186046512
"Q2",73,95888,0.931506849315068
"Q3",54,75858,1
"Q4",40,11731,0.975
