margBANK,n,landing,coverage
BRG,6,0,1
MNT,88,1032123,0.852272727272727
MRO,64,437580,0.9375
OSF,52,43313,0.980769230769231
HKL,1,0,1
NET,8,0,1
TWL,201,1513016,0.91044776119403
1978,57,385011,0.912280701754386
1980,61,5164,1
1981,42,670022,0.880952380952381
1982,50,452819,0.84
Q1,43,70292,0.976744186046512
Q2,73,379803,0.876712328767123
Q3,54,503095,0.925925925925926
Q4,40,559826,0.9
