margKLPG,n,landing,coverage
BRG,6,0,0
MNT,88,337,0.477272727272727
MRO,64,0,0.59375
OSF,52,0,0.653846153846154
HKL,1,0,1
NET,8,337,0
TWL,201,0,0.562189054726368
1978,57,337,0.578947368421053
1980,61,0,0.39344262295082
1981,42,0,0.833333333333333
1982,50,0,0.44
Q1,43,0,0.395348837209302
Q2,73,337,0.506849315068493
Q3,54,0,0.481481481481481
Q4,40,0,0.85
