margGSRK,n,landing,coverage
BDG,33,0,1
BRG,26,0,0.461538461538462
CRS,7,0,1
ERK,99,59,0.898989898989899
MNT,12,0,0.916666666666667
MRO,3,0,1
OSF,22,0,0.863636363636364
TWL,202,59,0.861386138613861
1981,37,0,0.891891891891892
1982,92,0,0.91304347826087
1983,73,59,0.780821917808219
Q1,51,59,0.745098039215686
Q2,35,0,1
Q3,59,0,0.898305084745763
Q4,57,0,0.842105263157895
