margGSRK,n,landing,coverage
BDG,33,0,1
BRG,26,0,0.961538461538462
CRS,7,0,1
ERK,99,59,0.98989898989899
MNT,12,0,1
MRO,3,0,1
OSF,22,0,1
TWL,202,59,0.99009900990099
1981,37,0,1
1982,92,0,0.989130434782609
1983,73,59,0.986301369863014
Q1,51,59,0.980392156862745
Q2,35,0,1
Q3,59,0,0.983050847457627
Q4,57,0,1
