"marginalREDS","n","landing","coverage"
"BDG",9,0,0.444444444444444
"BRG",326,4464,0.711656441717791
"CRS",50,0,0.82
"ERK",323,4155,0.823529411764706
"MNT",108,0,0.87962962962963
"MRO",138,0,0.971014492753623
"OSF",29,0,0.827586206896552
"HKL",110,0,0.981818181818182
"NET",6,0,0.833333333333333
"TWL",867,8619,0.787773933102653
"1978",124,0,0.661290322580645
"1979",102,0,0.833333333333333
"1980",271,3996,0.929889298892989
"1981",237,468,0.789029535864979
"1982",249,4155,0.763052208835341
"Q1",162,468,0.925925925925926
"Q2",289,7030,0.809688581314879
"Q3",340,0,0.841176470588235
"Q4",192,1121,0.65625
