margBLCK,n,landing,coverage
BDG,27,0,0.0740740740740741
BRG,12,0,0.166666666666667
CRS,3,0,1
ERK,55,0,0.727272727272727
MNT,11,0,1
MRO,1,0,1
OSF,20,0,0.7
TWL,129,0,0.565891472868217
1981,37,0,0.459459459459459
1982,92,0,0.608695652173913
Q1,33,0,1
Q2,13,0,0.846153846153846
Q3,37,0,0.135135135135135
Q4,46,0,0.521739130434783
