margYTRK,n,landing,coverage
BDG,27,0,0.925925925925926
BRG,12,0,0.916666666666667
CRS,3,33246,1
ERK,55,0,0.927272727272727
MNT,11,0,1
MRO,1,26877,1
OSF,20,0,1
TWL,129,60123,0.945736434108527
1981,37,0,1
1982,92,60123,0.923913043478261
Q1,33,0,1
Q2,13,0,0.923076923076923
Q3,37,60123,0.837837837837838
Q4,46,0,1
