margREX,n,landing,coverage
BRG,6,0,0.166666666666667
MNT,88,311,0.522727272727273
MRO,64,0,0.4375
OSF,52,0,0.269230769230769
HKL,1,0,1
NET,8,0,0.75
TWL,201,311,0.407960199004975
1978,57,311,0.421052631578947
1980,61,0,0.278688524590164
1981,42,0,0.452380952380952
1982,50,0,0.58
Q1,43,311,0.302325581395349
Q2,73,0,0.315068493150685
Q3,54,0,0.537037037037037
Q4,40,0,0.6
