margREX,n,landing,coverage
BRG,6,0,1
MNT,88,311,0.988636363636364
MRO,64,0,1
OSF,52,0,0.826923076923077
HKL,1,0,1
NET,8,0,1
TWL,201,311,0.950248756218905
1978,57,311,0.982456140350877
1980,61,0,1
1981,42,0,1
1982,50,0,0.82
Q1,43,311,0.976744186046512
Q2,73,0,0.876712328767123
Q3,54,0,1
Q4,40,0,1
