margCBZN,n,landing,coverage
BDG,12,0,0.666666666666667
BRG,401,0,0.850374064837905
CRS,60,0,0.95
ERK,459,0,0.956427015250545
MNT,163,0,1
MRO,164,125,0.908536585365854
OSF,36,0,1
HKL,124,125,0.911290322580645
NET,14,0,1
TWL,1157,0,0.921348314606742
1978,124,0,0.709677419354839
1979,102,125,0.990196078431373
1980,271,0,1
1981,237,0,0.915611814345992
1982,249,0,0.963855421686747
1983,312,0,0.884615384615385
Q1,228,0,0.846491228070175
Q2,390,125,0.933333333333333
Q3,437,0,0.993135011441648
Q4,240,0,0.841666666666667
