margCBZN,n,landing,coverage
BDG,12,0,0.333333333333333
BRG,401,0,0.127182044887781
CRS,60,0,0.183333333333333
ERK,459,0,0.104575163398693
MNT,163,0,0.43558282208589
MRO,164,125,0.310975609756098
OSF,36,0,0.138888888888889
HKL,124,125,0.354838709677419
NET,14,0,0.428571428571429
TWL,1157,0,0.165082108902334
1978,124,0,0.0161290322580645
1979,102,125,0.294117647058824
1980,271,0,0.195571955719557
1981,237,0,0.265822784810127
1982,249,0,0.244979919678715
1983,312,0,0.102564102564103
Q1,228,0,0.364035087719298
Q2,390,125,0.220512820512821
Q3,437,0,0.105263157894737
Q4,240,0,0.108333333333333
