species,mad
BRWN,3.70710396931193e-05
RDBD,3.73265694722487e-05
KLPG,3.84106972858563e-05
GBLC,3.88524297298857e-05
GSRK,3.96248165394495e-05
BLGL,4.05364099945374e-05
ARRA,4.06450168891766e-05
SNOS,4.17004994901849e-05
DBRK,4.29485985890007e-05
SBLY,4.31153542250371e-05
PNKR,4.39483815875171e-05
GSPT,4.99387576411974e-05
STRK,5.00667365411351e-05
FLAG,5.35395899064477e-05
OLVE,5.37611260746587e-05
BLUR,5.64971158400948e-05
BANK,6.01963849304481e-05
SPKL,6.39463908641333e-05
VRML,6.50864845240352e-05
CNRY,6.74525661271266e-05
TIGR,6.81288586955496e-05
CLPR,6.89418187506657e-05
CWCD,6.89604245451652e-05
WDOW,7.59977003589091e-05
BCAC,7.73238271390937e-05
YTRK,8.47427104885457e-05
