"marginalBLGL","n","landing","coverage"
"BRG",6,0,1
"MNT",88,33566,0.943181818181818
"MRO",64,43210,0.953125
"OSF",52,1093,0.826923076923077
"HKL",1,0,1
"NET",8,0,1
"TWL",201,77869,0.915422885572139
"1978",57,27793,0.964912280701754
"1980",61,23574,0.983606557377049
"1981",42,10625,0.976190476190476
"1982",50,15877,0.74
"Q1",43,9011,0.976744186046512
"Q2",73,33027,0.821917808219178
"Q3",54,1632,0.981481481481482
"Q4",40,34199,0.95
