margGRAS,n,landing,coverage
BDG,9,0,0
BRG,326,0,0.423312883435583
CRS,50,0,0.56
ERK,323,1251,0.244582043343653
MNT,108,0,0.138888888888889
MRO,138,0,0.565217391304348
OSF,29,0,0.586206896551724
HKL,110,0,0.736363636363636
NET,6,0,0.166666666666667
TWL,867,1251,0.314878892733564
1978,124,0,0.42741935483871
1979,102,0,0.411764705882353
1980,271,0,0.394833948339483
1981,237,0,0.459915611814346
1982,249,1251,0.176706827309237
Q1,162,0,0.240740740740741
Q2,289,1251,0.307958477508651
Q3,340,0,0.455882352941176
Q4,192,0,0.375
