margBYEL,n,landing,coverage
BDG,56,0,0.178571428571429
BRG,457,0,0.146608315098468
CRS,82,0,0.292682926829268
ERK,594,0,0.124579124579125
MNT,344,0,0.22093023255814
MRO,266,0,0.240601503759398
OSF,104,0,0.403846153846154
HKL,138,0,0.115942028985507
NET,47,0,0.25531914893617
TWL,1718,0,0.191501746216531
1978,124,0,0.153225806451613
1979,102,0,0.166666666666667
1980,271,0,0.158671586715867
1981,237,0,0.240506329113924
1982,249,0,0.21285140562249
1983,312,0,0.105769230769231
1984,277,0,0.169675090252708
1985,331,0,0.265861027190332
Q1,339,0,0.233038348082596
Q2,531,0,0.154425612052731
Q3,645,0,0.212403100775194
Q4,388,0,0.152061855670103
