margBLCK,n,landing,coverage
BDG,27,0,0.259259259259259
BRG,12,0,0.666666666666667
CRS,3,0,1
ERK,55,0,0.545454545454545
MNT,11,0,0.363636363636364
MRO,1,0,1
OSF,20,0,0.8
TWL,129,0,0.534883720930233
1981,37,0,0.189189189189189
1982,92,0,0.673913043478261
Q1,33,0,0.727272727272727
Q2,13,0,0.846153846153846
Q3,37,0,0.486486486486487
Q4,46,0,0.347826086956522
