"marginalYMTH","n","landing","coverage"
"BDG",9,0,0.444444444444444
"BRG",326,1535,0.996932515337423
"CRS",50,0,0.94
"ERK",323,0,0.925696594427245
"MNT",108,0,1
"MRO",138,0,0.920289855072464
"OSF",29,0,1
"HKL",110,0,0.963636363636364
"NET",6,0,1
"TWL",867,1535,0.953863898500577
"1978",124,0,0.774193548387097
"1979",102,1535,0.990196078431373
"1980",271,0,0.970479704797048
"1981",237,0,0.987341772151899
"1982",249,0,0.983935742971888
"Q1",162,0,0.987654320987654
"Q2",289,0,0.941176470588235
"Q3",340,0,0.929411764705882
"Q4",192,1535,0.994791666666667
