"marginalDBRK","n","landing","coverage"
"BRG",6,0,0
"MNT",88,12714,0.261363636363636
"MRO",64,0,0.46875
"OSF",52,24474,0.115384615384615
"HKL",1,0,1
"NET",8,0,0.875
"TWL",201,37188,0.253731343283582
"1978",57,5723,0.105263157894737
"1980",61,24474,0.311475409836066
"1981",42,6991,0.595238095238095
"1982",50,0,0.18
"Q1",43,0,0.116279069767442
"Q2",73,0,0.315068493150685
"Q3",54,5723,0.222222222222222
"Q4",40,31465,0.475
