margEGLS,n,landing,coverage
BRG,6,0,0.333333333333333
MNT,88,185,0.261363636363636
MRO,64,0,0.140625
OSF,52,2368,0.346153846153846
HKL,1,0,1
NET,8,0,0.125
TWL,201,2553,0.248756218905473
1978,57,185,0.333333333333333
1980,61,0,0.295081967213115
1981,42,0,0.357142857142857
1982,50,2368,0
Q1,43,0,0.162790697674419
Q2,73,2368,0.26027397260274
Q3,54,0,0.296296296296296
Q4,40,185,0.25
