margPNKR,n,landing,coverage
BDG,4,0,0
BRG,6,0,0.333333333333333
MNT,95,745,0.336842105263158
MRO,77,707,0.103896103896104
OSF,63,0,0.396825396825397
HKL,1,0,1
NET,8,0,0
TWL,236,1452,0.279661016949153
1978,57,745,0.350877192982456
1980,61,0,0.278688524590164
1981,42,0,0.0476190476190476
1982,50,0,0.38
1983,18,0,0.222222222222222
1984,6,0,0
1985,11,707,0.454545454545455
Q1,55,745,0.218181818181818
Q2,86,707,0.406976744186047
Q3,59,0,0.220338983050847
Q4,45,0,0.155555555555556
