margPNKR,n,landing,coverage
BDG,4,0,1
BRG,6,0,1
MNT,95,745,0.989473684210526
MRO,77,707,0.974025974025974
OSF,63,0,1
HKL,1,0,1
NET,8,0,1
TWL,236,1452,0.98728813559322
1978,57,745,0.982456140350877
1980,61,0,1
1981,42,0,1
1982,50,0,1
1983,18,0,1
1984,6,0,1
1985,11,707,0.818181818181818
Q1,55,745,0.981818181818182
Q2,86,707,0.976744186046512
Q3,59,0,1
Q4,45,0,1
