"species","mad"
"REDS",8.51096846156371e-06
"SBLY",8.54556490415711e-06
"GSPT",8.60216851656504e-06
"ROSY",8.61776583433784e-06
"ARRA",8.62266804917412e-06
"FLAG",8.6919624625024e-06
"SNOS",8.76254006832431e-06
"RSTN",8.79797937345061e-06
"GSRK",8.84824754924383e-06
"RDBD",8.91237204519747e-06
"BLGL",9.18427728583263e-06
"COPP",9.24483305126209e-06
"BRWN",9.29339862678442e-06
"STRK",9.30030222871304e-06
"STAR",9.36756476648357e-06
"GBLC",9.38305886062822e-06
"POP",9.50186680831225e-06
"SSPN",9.56850953462211e-06
"LSPN",9.74057023380084e-06
"MXRF",9.91355540545001e-06
"QLBK",9.9242303099143e-06
"YTRK",1.00298186658583e-05
"BANK",1.00997650763223e-05
"OLVE",1.04890252222816e-05
"GRAS",1.05277434741725e-05
"BRNZ",1.05774756730477e-05
"REX",1.09923089526993e-05
"CWCD",1.18746160523603e-05
"BLUR",1.19623399255512e-05
"BLCK",1.22333092132875e-05
"WDOW",1.30162642370521e-05
"EGLS",1.31143148620845e-05
"DBRK",1.32582611628054e-05
"YEYE",1.33672630321082e-05
"CLPR",1.33975874000985e-05
"VRML",1.35136362869162e-05
"TIGR",1.37884216348772e-05
"SHRP",1.41590740939398e-05
"YMTH",1.52219313882713e-05
"BCAC",1.56145622164011e-05
"SLGR",1.58360991723751e-05
"CNRY",1.77945882228233e-05
"CBZN",1.83406450610213e-05
"SWSP",1.84645688703384e-05
"LCOD",2.30234155071959e-05
"REYE",2.45043263063191e-05
"SPKL",3.24017559488741e-05
"URCK",3.29757582379234e-05
