margSBLY,n,landing,coverage
BDG,9,6313,0.444444444444444
BRG,326,387,0.530674846625767
CRS,50,0,0.48
ERK,323,0,0.529411764705882
MNT,108,900,0.638888888888889
MRO,138,0,0.514492753623188
OSF,29,0,0.103448275862069
HKL,110,0,0.518181818181818
NET,6,0,0.166666666666667
TWL,867,7600,0.527104959630911
1978,124,387,0.596774193548387
1979,102,0,0.401960784313726
1980,271,0,0.505535055350554
1981,237,0,0.708860759493671
1982,249,7213,0.381526104417671
Q1,162,0,0.648148148148148
Q2,289,6588,0.588235294117647
Q3,340,112,0.426470588235294
Q4,192,900,0.494791666666667
