"marginalSLGR","n","landing","coverage"
"BDG",9,0,0.444444444444444
"BRG",326,0,0.226993865030675
"CRS",50,0,0.3
"ERK",323,1894,0.120743034055728
"MNT",108,0,0.305555555555556
"MRO",138,0,0.268115942028986
"OSF",29,0,0.275862068965517
"HKL",110,0,0.2
"NET",6,0,0.166666666666667
"TWL",867,1894,0.215686274509804
"1978",124,0,0.137096774193548
"1979",102,1894,0.0882352941176471
"1980",271,0,0.265682656826568
"1981",237,0,0.248945147679325
"1982",249,0,0.21285140562249
"Q1",162,1894,0.197530864197531
"Q2",289,0,0.152249134948097
"Q3",340,0,0.252941176470588
"Q4",192,0,0.25
