margBLUR,n,landing,coverage
BDG,9,0,1
BRG,326,0,0.438650306748466
CRS,50,0,0.98
ERK,323,0,0.947368421052632
MNT,108,0,0.842592592592593
MRO,138,0,0.956521739130435
OSF,29,0,0.827586206896552
HKL,110,0,0.918181818181818
NET,6,0,0.833333333333333
TWL,867,0,0.747404844290657
1978,124,0,0.451612903225806
1979,102,0,0.607843137254902
1980,271,0,0.77859778597786
1981,237,0,0.810126582278481
1982,249,0,0.93574297188755
Q1,162,0,0.858024691358025
Q2,289,0,0.816608996539792
Q3,340,0,0.667647058823529
Q4,192,0,0.791666666666667
