margCNRY,n,landing,coverage
BDG,9,66834,0.666666666666667
BRG,326,1975794,0.570552147239264
CRS,50,1398777,0.36
ERK,323,1577283,0.606811145510836
MNT,108,20852,0.962962962962963
MRO,138,100136,0.695652173913043
OSF,29,7637,0.862068965517241
HKL,110,132906,0.618181818181818
NET,6,0,1
TWL,867,5014407,0.642445213379469
1978,124,1259855,0.5
1979,102,626077,0.676470588235294
1980,271,615166,0.634686346863469
1981,237,1146147,0.679324894514768
1982,249,1500068,0.670682730923695
Q1,162,848186,0.734567901234568
Q2,289,1937730,0.653979238754325
Q3,340,1978133,0.591176470588235
Q4,192,383264,0.635416666666667
