margSTAR,n,landing,coverage
BDG,9,0,0.444444444444444
BRG,326,0,0.460122699386503
CRS,50,0,0.82
ERK,323,0,0.835913312693498
MNT,108,0,0.472222222222222
MRO,138,2890,0.934782608695652
OSF,29,0,0.931034482758621
HKL,110,2559,0.927272727272727
NET,6,0,1
TWL,867,331,0.650519031141868
1978,124,0,0.290322580645161
1979,102,112,0.715686274509804
1980,271,331,0.826568265682657
1981,237,1766,0.620253164556962
1982,249,681,0.771084337349398
Q1,162,681,0.734567901234568
Q2,289,147,0.685121107266436
Q3,340,599,0.726470588235294
Q4,192,1463,0.5625
