margQLBK,n,landing,coverage
BDG,9,0,1
BRG,326,232,0.852760736196319
CRS,50,0,0.94
ERK,323,0,0.934984520123839
MNT,108,0,0.87962962962963
MRO,138,0,0.942028985507246
OSF,29,0,1
HKL,110,0,0.927272727272727
NET,6,0,1
TWL,867,232,0.901960784313726
1978,124,232,0.983870967741935
1979,102,0,0.852941176470588
1980,271,0,0.900369003690037
1981,237,0,0.89873417721519
1982,249,0,0.899598393574297
Q1,162,232,0.950617283950617
Q2,289,0,0.889273356401384
Q3,340,0,0.923529411764706
Q4,192,0,0.859375
