margSBLY,n,landing,coverage
BDG,9,6313,0.666666666666667
BRG,326,387,0.647239263803681
CRS,50,0,0.98
ERK,323,0,0.622291021671827
MNT,108,900,0.712962962962963
MRO,138,0,0.797101449275362
OSF,29,0,0.793103448275862
HKL,110,0,0.936363636363636
NET,6,0,1
TWL,867,7600,0.655132641291811
1978,124,387,0.556451612903226
1979,102,0,0.823529411764706
1980,271,0,0.693726937269373
1981,237,0,0.493670886075949
1982,249,7213,0.879518072289157
Q1,162,0,0.697530864197531
Q2,289,6588,0.740484429065744
Q3,340,112,0.591176470588235
Q4,192,900,0.776041666666667
