margCWCD,n,landing,coverage
BDG,56,4763,0.982142857142857
BRG,457,44030,0.991247264770241
CRS,82,0,1
ERK,594,0,1
MNT,344,18717,0.944767441860465
MRO,266,98373,0.93984962406015
OSF,104,6973,0.980769230769231
HKL,138,78600,0.927536231884058
NET,47,0,1
TWL,1718,94256,0.981373690337602
1978,124,0,1
1979,102,28859,0.970588235294118
1980,271,22193,0.981549815498155
1981,237,21283,0.983122362869198
1982,249,37889,0.983935742971888
1983,312,29573,0.977564102564103
1984,277,24608,0.963898916967509
1985,331,8451,0.972809667673716
Q1,339,15420,0.967551622418879
Q2,531,45315,0.983050847457627
Q3,645,107130,0.976744186046512
Q4,388,4991,0.981958762886598
