"marginalGBLC","n","landing","coverage"
"BRG",6,0,0
"MNT",88,0,0.0454545454545455
"MRO",64,15254,0.484375
"OSF",52,0,0.442307692307692
"HKL",1,0,1
"NET",8,0,0.125
"TWL",201,15254,0.278606965174129
"1978",57,0,0.263157894736842
"1980",61,4068,0.262295081967213
"1981",42,8019,0.619047619047619
"1982",50,3167,0.02
"Q1",43,3167,0.186046511627907
"Q2",73,0,0.26027397260274
"Q3",54,0,0.314814814814815
"Q4",40,12087,0.35
