margBLGL,n,landing,coverage
BDG,12,0,1
BRG,401,311519,0.930174563591022
CRS,60,0,1
ERK,459,0,1
MNT,163,173977,0.926380368098159
MRO,164,171525,0.969512195121951
OSF,36,21168,0.944444444444444
HKL,124,46463,0.983870967741935
NET,14,114146,0.928571428571429
TWL,1157,517580,0.961970613656007
1978,124,4619,0.983870967741935
1979,102,53466,0.96078431372549
1980,271,131418,0.974169741697417
1981,237,18681,0.978902953586498
1982,249,171755,0.971887550200803
1983,312,298250,0.92948717948718
Q1,228,186637,0.951754385964912
Q2,390,106445,0.974358974358974
Q3,437,270772,0.97025171624714
Q4,240,114335,0.945833333333333
