"marginalBRWN","n","landing","coverage"
"BRG",6,0,1
"MNT",88,0,0.863636363636364
"MRO",64,3617,0.984375
"OSF",52,0,1
"HKL",1,0,1
"NET",8,0,1
"TWL",201,3617,0.935323383084577
"1978",57,0,0.859649122807018
"1980",61,0,1
"1981",42,0,1
"1982",50,3617,0.9
"Q1",43,3617,0.883720930232558
"Q2",73,0,0.89041095890411
"Q3",54,0,1
"Q4",40,0,1
