"marginalBRWN","n","landing","coverage"
"BRG",6,0,0.333333333333333
"MNT",88,0,0.318181818181818
"MRO",64,3617,0.53125
"OSF",52,0,0.615384615384615
"HKL",1,0,0
"NET",8,0,0.125
"TWL",201,3617,0.472636815920398
"1978",57,0,0.245614035087719
"1980",61,0,0.721311475409836
"1981",42,0,0.476190476190476
"1982",50,3617,0.36
"Q1",43,3617,0.0930232558139535
"Q2",73,0,0.342465753424658
"Q3",54,0,0.796296296296296
"Q4",40,0,0.6
