"marginalURCK","n","landing","coverage"
"BDG",9,0,0
"BRG",326,0,0.0582822085889571
"CRS",50,44,0.4
"ERK",323,0,0.26625386996904
"MNT",108,0,0.333333333333333
"MRO",138,0,0.442028985507246
"OSF",29,0,0.413793103448276
"HKL",110,0,0.463636363636364
"NET",6,0,0.333333333333333
"TWL",867,44,0.20876585928489
"1978",124,0,0.17741935483871
"1979",102,0,0.205882352941176
"1980",271,44,0.232472324723247
"1981",237,0,0.151898734177215
"1982",249,0,0.369477911646586
"Q1",162,0,0.314814814814815
"Q2",289,0,0.1280276816609
"Q3",340,44,0.291176470588235
"Q4",192,0,0.244791666666667
