margBCAC,n,landing,coverage
BDG,9,689945,0.777777777777778
BRG,326,4401338,0.957055214723926
CRS,50,570089,0.98
ERK,323,2934116,0.953560371517028
MNT,108,2426405,0.935185185185185
MRO,138,1605793,0.86231884057971
OSF,29,1665847,0.827586206896552
HKL,110,906394,0.9
NET,6,20053,1
TWL,867,13367086,0.94002306805075
1978,124,1320166,0.935483870967742
1979,102,1408999,0.941176470588235
1980,271,2700181,0.940959409594096
1981,237,5193394,0.911392405063291
1982,249,3670793,0.951807228915663
Q1,162,3371850,0.907407407407407
Q2,289,3877067,0.941176470588235
Q3,340,4274305,0.944117647058824
Q4,192,2770311,0.9375
