margSSPN,n,landing,coverage
BDG,4,0,1
BRG,6,0,1
MNT,95,3573,0.978947368421053
MRO,77,49634,0.922077922077922
OSF,63,0,1
HKL,1,0,1
NET,8,0,1
TWL,236,53207,0.966101694915254
1978,57,0,1
1980,61,6144,0.983606557377049
1981,42,24367,0.952380952380952
1982,50,21338,0.94
1983,18,0,1
1984,6,1292,0.833333333333333
1985,11,66,0.909090909090909
Q1,55,20349,0.945454545454545
Q2,86,2347,0.976744186046512
Q3,59,0,1
Q4,45,30511,0.933333333333333
