margOLVE,n,landing,coverage
BRG,6,0,0.666666666666667
MNT,88,20334,0.806818181818182
MRO,64,0,0.96875
OSF,52,0,0.923076923076923
HKL,1,0,1
NET,8,17170,0.5
TWL,201,3164,0.895522388059702
1978,57,17170,0.736842105263158
1980,61,0,0.950819672131147
1981,42,0,0.928571428571429
1982,50,3164,0.92
Q1,43,0,0.883720930232558
Q2,73,17170,0.945205479452055
Q3,54,0,0.722222222222222
Q4,40,3164,0.975
