"marginalCBZN","n","landing","coverage"
"BDG",9,0,0.111111111111111
"BRG",326,0,0.0460122699386503
"CRS",50,0,0.4
"ERK",323,0,0.235294117647059
"MNT",108,0,0.333333333333333
"MRO",138,125,0.210144927536232
"OSF",29,0,0.0689655172413793
"HKL",110,125,0.2
"NET",6,0,0.333333333333333
"TWL",867,0,0.178777393310265
"1978",124,0,0.282258064516129
"1979",102,125,0.186274509803922
"1980",271,0,0.228782287822878
"1981",237,0,0.10126582278481
"1982",249,0,0.156626506024096
"Q1",162,0,0.277777777777778
"Q2",289,125,0.152249134948097
"Q3",340,0,0.182352941176471
"Q4",192,0,0.145833333333333
