margPNKR,n,landing,coverage
BRG,6,0,0
MNT,88,745,0.613636363636364
MRO,64,0,0.390625
OSF,52,0,0.423076923076923
HKL,1,0,1
NET,8,0,0.125
TWL,201,745,0.492537313432836
1978,57,745,0.578947368421053
1980,61,0,0.262295081967213
1981,42,0,0.523809523809524
1982,50,0,0.6
Q1,43,745,0.651162790697674
Q2,73,0,0.616438356164384
Q3,54,0,0.203703703703704
Q4,40,0,0.425
