margPNKR,n,landing,coverage
BRG,6,0,1
MNT,88,745,0.988636363636364
MRO,64,0,0.734375
OSF,52,0,0.980769230769231
HKL,1,0,1
NET,8,0,1
TWL,201,745,0.90547263681592
1978,57,745,0.982456140350877
1980,61,0,0.721311475409836
1981,42,0,1
1982,50,0,0.98
Q1,43,745,0.976744186046512
Q2,73,0,1
Q3,54,0,0.777777777777778
Q4,40,0,0.85
