margLCOD,n,landing,coverage
BDG,12,0,1
BRG,401,26912,0.997506234413965
CRS,60,0,1
ERK,459,0,1
MNT,163,69406,0.920245398773006
MRO,164,142506,0.896341463414634
OSF,36,0,1
HKL,124,9396,0.951612903225806
NET,14,25746,0.571428571428571
TWL,1157,203682,0.983578219533276
1978,124,3899,0.967741935483871
1979,102,7166,0.96078431372549
1980,271,177136,0.940959409594096
1981,237,26525,0.991561181434599
1982,249,438,0.995983935742972
1983,312,23660,0.987179487179487
Q1,228,4993,0.986842105263158
Q2,390,70244,0.964102564102564
Q3,437,145056,0.974828375286041
Q4,240,18531,0.9875
