"marginalSLGR","n","landing","coverage"
"BDG",9,0,0.888888888888889
"BRG",326,0,0.926380368098159
"CRS",50,0,0.98
"ERK",323,1894,0.777089783281734
"MNT",108,0,0.731481481481482
"MRO",138,0,0.710144927536232
"OSF",29,0,0.827586206896552
"HKL",110,0,0.945454545454545
"NET",6,0,0
"TWL",867,1894,0.815455594002307
"1978",124,0,0.967741935483871
"1979",102,1894,0.872549019607843
"1980",271,0,0.859778597785978
"1981",237,0,0.738396624472574
"1982",249,0,0.779116465863454
"Q1",162,1894,0.932098765432099
"Q2",289,0,0.934256055363322
"Q3",340,0,0.720588235294118
"Q4",192,0,0.755208333333333
