"marginalLSPN","n","landing","coverage"
"BDG",9,0,0.222222222222222
"BRG",326,432,0.56441717791411
"CRS",50,0,0.6
"ERK",323,0,0.346749226006192
"MNT",108,0,0.324074074074074
"MRO",138,0,0.608695652173913
"OSF",29,0,0.517241379310345
"HKL",110,0,0.7
"NET",6,0,0.666666666666667
"TWL",867,432,0.439446366782007
"1978",124,163,0.774193548387097
"1979",102,0,0.725490196078431
"1980",271,269,0.309963099630996
"1981",237,0,0.39662447257384
"1982",249,0,0.457831325301205
"Q1",162,0,0.54320987654321
"Q2",289,0,0.391003460207612
"Q3",340,269,0.526470588235294
"Q4",192,163,0.427083333333333
