margWDOW,n,landing,coverage
BRG,6,1243,0.833333333333333
MNT,88,209217,0.977272727272727
MRO,64,375279,0.9375
OSF,52,373745,0.923076923076923
HKL,1,0,1
NET,8,19058,1
TWL,201,940426,0.945273631840796
1978,57,141361,0.964912280701754
1980,61,497415,0.934426229508197
1981,42,285587,0.880952380952381
1982,50,35121,1
Q1,43,267685,0.953488372093023
Q2,73,114674,0.986301369863014
Q3,54,341514,0.925925925925926
Q4,40,235611,0.9
