margSPKL,n,landing,coverage
BDG,9,0,1
BRG,326,0,0.938650306748466
CRS,50,0,1
ERK,323,0,1
MNT,108,13256,0.990740740740741
MRO,138,29218,1
OSF,29,0,1
HKL,110,35331,1
NET,6,2555,0.833333333333333
TWL,867,4588,0.976931949250288
1978,124,2555,0.991935483870968
1979,102,9951,1
1980,271,1542,1
1981,237,12829,0.915611814345992
1982,249,15597,1
Q1,162,11599,1
Q2,289,6194,0.927335640138408
Q3,340,1856,1
Q4,192,22825,1
