margSHRP,n,landing,coverage
BDG,9,0,0
BRG,326,3698,0.337423312883436
CRS,50,0,0.14
ERK,323,0,0.365325077399381
MNT,108,0,0.138888888888889
MRO,138,0,0.5
OSF,29,0,0.517241379310345
HKL,110,0,0.663636363636364
NET,6,0,0.166666666666667
TWL,867,3698,0.299884659746251
1978,124,0,0.403225806451613
1979,102,3698,0.382352941176471
1980,271,0,0.391143911439114
1981,237,0,0.135021097046413
1982,249,0,0.429718875502008
Q1,162,0,0.450617283950617
Q2,289,0,0.100346020761246
Q3,340,1139,0.405882352941176
Q4,192,2559,0.489583333333333
