"marginalSNOS","n","landing","coverage"
"BDG",9,0,1
"BRG",326,268508,0.920245398773006
"CRS",50,70112,0.86
"ERK",323,39151,0.981424148606811
"MNT",108,37461,0.953703703703704
"MRO",138,150858,0.985507246376812
"OSF",29,197641,0.862068965517241
"HKL",110,0,1
"NET",6,0,1
"TWL",867,763731,0.942329873125721
"1978",124,3677,0.967741935483871
"1979",102,19016,0.990196078431373
"1980",271,223827,0.955719557195572
"1981",237,308301,0.911392405063291
"1982",249,208910,0.951807228915663
"Q1",162,183959,0.919753086419753
"Q2",289,182634,0.961937716262976
"Q3",340,342259,0.958823529411765
"Q4",192,54879,0.9375
