"marginalSNOS","n","landing","coverage"
"BDG",9,0,0.666666666666667
"BRG",326,268508,0.549079754601227
"CRS",50,70112,0.58
"ERK",323,39151,0.777089783281734
"MNT",108,37461,0.611111111111111
"MRO",138,150858,0.456521739130435
"OSF",29,197641,0.482758620689655
"HKL",110,0,0.336363636363636
"NET",6,0,0.5
"TWL",867,763731,0.655132641291811
"1978",124,3677,0.733870967741935
"1979",102,19016,0.735294117647059
"1980",271,223827,0.74169741697417
"1981",237,308301,0.514767932489452
"1982",249,208910,0.477911646586345
"Q1",162,183959,0.493827160493827
"Q2",289,182634,0.671280276816609
"Q3",340,342259,0.626470588235294
"Q4",192,54879,0.630208333333333
