"marginalURCK","n","landing","coverage"
"BDG",9,0,1
"BRG",326,0,0.865030674846626
"CRS",50,44,0.54
"ERK",323,0,0.959752321981424
"MNT",108,0,0.990740740740741
"MRO",138,0,0.963768115942029
"OSF",29,0,0.96551724137931
"HKL",110,0,0.954545454545455
"NET",6,0,1
"TWL",867,44,0.905420991926182
"1978",124,0,0.564516129032258
"1979",102,0,0.931372549019608
"1980",271,44,0.937269372693727
"1981",237,0,0.983122362869198
"1982",249,0,0.979919678714859
"Q1",162,0,0.95679012345679
"Q2",289,0,0.896193771626298
"Q3",340,44,0.873529411764706
"Q4",192,0,0.963541666666667
