"marginalREYE","n","landing","coverage"
"BDG",9,0,1
"BRG",326,0,0.978527607361963
"CRS",50,0,0.86
"ERK",323,0,0.969040247678019
"MNT",108,0,0.833333333333333
"MRO",138,0,0.876811594202899
"OSF",29,0,0.862068965517241
"HKL",110,0,0.827272727272727
"NET",6,0,1
"TWL",867,0,0.949250288350634
"1978",124,0,1
"1979",102,0,0.92156862745098
"1980",271,0,0.985239852398524
"1981",237,0,0.9957805907173
"1982",249,0,0.799196787148594
"Q1",162,0,0.734567901234568
"Q2",289,0,0.968858131487889
"Q3",340,0,0.970588235294118
"Q4",192,0,0.994791666666667
