margSWSP,n,landing,coverage
BDG,9,0,0.222222222222222
BRG,326,0,0.260736196319018
CRS,50,0,0.32
ERK,323,0,0.272445820433437
MNT,108,0,0.277777777777778
MRO,138,0,0.152173913043478
OSF,29,0,0.137931034482759
HKL,110,0,0.2
NET,6,0,0.333333333333333
TWL,867,0,0.256055363321799
1978,124,0,0.443548387096774
1979,102,0,0.117647058823529
1980,271,0,0.291512915129151
1981,237,0,0.164556962025316
1982,249,0,0.244979919678715
Q1,162,0,0.246913580246914
Q2,289,0,0.311418685121107
Q3,340,0,0.220588235294118
Q4,192,0,0.213541666666667
